Date,Close,High,Low,Open,Volume,Volume_rank,cut,qcut
2009-01-02,20.756759643554688,20.756759643554688,20.756759643554688,20.756759643554688,0,0.0019356399709654004,"(20, 35]","(19.362, 28.509]"
2009-01-05,23.105863571166992,23.105863571166996,19.30435199162653,22.209160319786676,26338,0.17590128236148075,"(20, 35]","(19.362, 28.509]"
2009-01-06,23.093236923217773,23.10586681967836,21.426129132923474,23.10586681967836,24377,0.17227195741592063,"(20, 35]","(19.362, 28.509]"
2009-01-07,20.339982986450195,22.019720744232508,20.339982986450195,21.91237023313789,16672,0.13815630292765546,"(20, 35]","(19.362, 28.509]"
2009-01-08,19.045442581176758,21.35034625604528,19.045442581176758,21.217733584352427,31357,0.18461166223082506,"(20, 35]","(19.362, 28.509]"
2009-01-09,20.346296310424805,20.535739921190814,20.219999766945396,20.47890659707039,18391,0.14856036777159448,"(20, 35]","(19.362, 28.509]"
2009-01-12,21.590309143066406,21.590309143066406,19.954776383757324,19.97372002063797,13977,0.11807403822888943,"(10, 20]","(19.362, 28.509]"
2009-01-13,20.6241455078125,21.59030954940525,19.992665238242118,21.59030954940525,11554,0.09073312363900314,"(20, 35]","(19.362, 28.509]"
2009-01-14,21.956571578979492,21.956571578979492,20.516797183277987,20.624147684158114,13520,0.11323493830147592,"(20, 35]","(19.362, 28.509]"
2009-01-15,19.575885772705078,21.95656636380919,19.544312245175412,21.95656636380919,29872,0.18267602225985966,"(20, 35]","(19.362, 28.509]"
2009-01-16,18.944408416748047,19.822165621299064,18.944408416748047,19.702185235199188,14165,0.12049358819259617,"(10, 20]","(19.362, 28.509]"
2009-01-19,21.29983139038086,21.29983139038086,19.81585236364064,19.860056998789574,8872,0.05915799661263005,"(10, 20]","(19.362, 28.509]"
2009-01-20,20.73781394958496,20.73781394958496,19.279094737472573,19.34224180634986,27774,0.17880474231792887,"(10, 20]","(15.833, 19.362]"
2009-01-21,19.26014518737793,19.291718714100693,18.950720048574066,19.196996929479564,29100,0.18098233728526494,"(10, 20]","(15.833, 19.362]"
2009-02-02,20.864107131958008,20.864107131958008,19.196998525336596,19.196998525336596,7841,0.04548753931768691,"(10, 20]","(15.833, 19.362]"
2009-02-03,19.872682571411133,19.986349206478312,19.399072394933196,19.399072394933196,16223,0.134768932978466,"(10, 20]","(19.362, 28.509]"
2009-02-04,20.011611938476562,20.106333746818642,18.483429496010782,18.483429496010782,16252,0.13549479796757802,"(10, 20]","(15.833, 19.362]"
2009-02-05,19.84742546081543,21.407182528585977,19.8221656713918,21.407182528585977,14257,0.12097749818533753,"(20, 35]","(19.362, 28.509]"
2009-02-06,20.333667755126953,20.554684914100775,20.062131011869766,20.062131011869766,22990,0.1676748124848778,"(20, 35]","(19.362, 28.509]"
2009-02-09,21.956571578979492,21.956571578979492,18.91283655117518,18.91283655117518,28135,0.17977256230341157,"(10, 20]","(15.833, 19.362]"
